waterK,seed,exterior_water_fraction,interior_water_fraction,shoreline_fraction,largest_exterior_shore_to_area,n_interior_bodies,n_exterior_bodies,guard_exterior_water_fail,guard_a_fail,guard_b_fail,invalid_substrate
0.85,13,0.2061,0.0006,0.05054834236732636,0.1723744292237443,1,5,1,0,0,1
0.85,99,0.057,0.0425,0.033647973348139924,0.15778251599147122,8,3,0,0,0,0
0.9,42,0.4507,0.0014,0.12374520897974083,0.13786764705882354,4,5,1,0,0,1
0.9,7,0.0534,0.0069,0.01968713419176333,0.16986301369863013,4,4,0,0,0,0
0.9,1001,0.0478,0.0277,0.027906976744186046,0.15901060070671377,6,5,0,0,0,0
0.9,13,0.2385,0.0009,0.05679726531685511,0.14540942928039702,3,8,1,0,0,1
0.9,99,0.0721,0.0538,0.03695229378789612,0.1913477537437604,7,3,0,0,0,0
0.95,42,0.4977,0.003,0.12116963749248949,0.1067251461988304,5,5,1,0,0,1
0.95,7,0.0761,0.0027,0.024967433782023447,0.14912280701754385,5,6,0,0,0,0
0.95,1001,0.0558,0.0378,0.034311562224183585,0.1423841059602649,11,5,0,0,0,0
0.95,13,0.2736,0.0035,0.06709088393968737,0.12940651494868363,5,8,1,0,0,1
0.95,99,0.1455,0.0114,0.04329261060372435,0.1846986089644513,9,3,1,0,0,1
1.0,42,0.5449,0.005,0.12641635192179515,0.08506144393241168,8,7,1,0,0,1
1.0,7,0.105,0.0018,0.03168383340797134,0.1270718232044199,4,7,0,0,0,0
1.0,1001,0.0668,0.0554,0.051492367281840964,0.16666666666666666,20,5,0,0,0,0
1.0,13,0.3163,0.0035,0.07159658923845928,0.13303769401330376,2,6,1,0,0,1
1.0,99,0.1877,0.0066,0.050515080054610896,0.18505338078291814,4,5,1,0,0,1
